Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1640.5068953069258,OUT049
FDW14,1401.1996050356588,OUT017
NCN55,650.0060009072841,OUT010
FDQ58,2514.2852905372006,OUT017
FDY38,5938.01824124706,OUT027
FDH56,1884.2386647539454,OUT046
FDL48,589.0872628740844,OUT018
FDC48,2139.33006334895,OUT027
FDN33,1486.9189693760022,OUT045
FDA36,3257.689479746596,OUT017
FDT44,1908.881095195549,OUT017
FDQ56,1319.461054193515,OUT045
NCC54,630.0840529400924,OUT019
FDU11,2086.1510274322054,OUT049
DRL59,853.2397721676532,OUT013
FDM24,2490.440572575706,OUT049
FDI57,3304.200265392929,OUT045
DRC12,2857.553668026547,OUT018
NCM42,2862.968575039438,OUT027
FDA46,599.3457868792714,OUT010
FDA31,2866.0123347888475,OUT013
NCJ31,3760.3145096867042,OUT035
FDG52,770.6821100759996,OUT046
NCL19,319.98143516132615,OUT019
FDS10,2908.8027184470548,OUT035
FDX22,587.7143268206892,OUT010
NCF19,867.1596055687952,OUT035
NCE06,2533.5720935275076,OUT046
DRC27,3788.9630259772493,OUT046
FDE21,1995.0100003932134,OUT035
NCR42,9.649604525945016,OUT019
FDX51,2798.2008244895246,OUT018
NCR06,507.05983262889686,OUT018
FDU31,5566.69810955746,OUT027
FDU59,2583.5922250505196,OUT017
FDR03,5462.746783980197,OUT027
FDS49,2145.2402171804424,OUT027
FDD48,306.7263376718079,OUT010
NCF18,3175.337584802358,OUT017
NCD43,2667.2194524020297,OUT027
NCD54,1878.209762159785,OUT018
FDY19,282.9079091969138,OUT010
NCY54,2771.487271559478,OUT017
NCL19,2113.3039186364786,OUT018
FDP23,613.9469395288866,OUT010
FDC26,1803.460044451258,OUT013
FDR14,67.9770530007941,OUT010
NCS41,3233.3084724872033,OUT035
FDF41,3945.863254480956,OUT035
FDU34,1973.3700014448534,OUT046
DRH11,888.2917211963864,OUT046
FDM03,1673.4881964561102,OUT013
FDS31,3108.619268077001,OUT017
FDJ20,2099.3230338517787,OUT017
FDV44,5226.997007118168,OUT027
FDG02,3219.716971573349,OUT049
FDA09,3118.2173455927164,OUT013
FDT04,653.1211286774434,OUT013
FDL58,507.0127491089955,OUT019
FDE52,1339.8596887507783,OUT045
FDW12,2547.629093789909,OUT035
FDL51,3641.3927293165543,OUT017
NCY42,3336.2401730718393,OUT027
FDR07,1884.002468267357,OUT017
FDN40,2374.2334871561634,OUT045
FDB35,2469.9779615738653,OUT027
FDA22,2669.6695268005847,OUT017
NCL06,3830.507959573493,OUT046
FDI35,3079.2771763381834,OUT013
NCW42,3660.734999064783,OUT045
NCX06,3093.969843481945,OUT049
FDC37,2661.0964813802225,OUT027
FDZ14,1754.5536839431995,OUT018
DRG49,3949.983405247378,OUT049
NCG06,3854.9760222966283,OUT045
DRC36,2773.832495415937,OUT045
FDV21,276.14440136974565,OUT019
FDB53,2444.7467300406374,OUT046
DRP47,718.2766635897357,OUT019
FDA14,2496.331105809431,OUT013
DRC24,2554.73684536829,OUT035
FDW21,1478.8148809607699,OUT018
NCH29,1582.0950006220403,OUT046
FDU58,3201.97321903794,OUT013
FDY27,2919.9428680963756,OUT017
FDV56,1804.0597818069248,OUT035
FDT59,3839.9489764940163,OUT046
FDB23,3696.9019640212437,OUT046
FDR49,727.933543244603,OUT045
FDB03,609.0457246507308,OUT010
FDN39,2590.768691081924,OUT045
FDX02,5600.497708104294,OUT027
FDQ16,2663.082069640849,OUT027
FDU35,1417.7376940212985,OUT018
